R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000439/S005516/P048099	از سال سی و هفت با ایشان آشنا شدم و به درس او می‌رفتم	AH A Z | S AA L E | S I | V A | H A F T | B AA | AH I SH AA N | AH AA SH N AA | SH O D A M | V A | B E | D A R S E | AH U | M I R A F T A M	SIL | AH A Z | S AA L E | S I | V E | SIL | H A F T | SIL | B AA | AH I SH AA N | AH AA SH N AA | SIL | SH O D A M | SIL | V AA V | B E | D A R S E | AH U | M I R A F T A M | SIL
R000439/S005516/P048100	البته این امر به معنای بالکانیزه کردن کلیه کشورهای منطقه نیست همچنان‌که در حوزه بالکان نیز برخی از کشورها از نوعی مصونیت برخوردار بوده‌اند	AH A L B A T E | AH I N | AH A M R | B E | M A AH N AA Y E | B AA L K AA N I Z E | K A R D A N E | K O L L I Y E Y E | K E SH V A R H AA Y E | M A N T A Q E | N I S T | H A M CH E N AA N K E | D A R | H O Z E Y E | B AA L K AA N | N I Z | B A R KH I | AH A Z | K E SH V A R H AA | AH A Z | N O AH I | M A S U N I Y Y A T | B A R KH O R D AA R | B U D E AH A N D	SIL | AH A L B A T E | AH I N | AH A M R | SIL | B E | M A AH N AA Y E | B AA L K AA N I Z E | K A R D A N E | K O L L I Y E Y E | K E SH V A R H AA Y E | M A N T A Q E | N I S T | SIL | H A M CH E N AA N K E | SIL | D A R | H O Z E Y E | B AA L K AA N | N I Z | SIL | B A R KH I | AH A Z | K E SH V A R H AA | SIL | AH A Z | N O AH I | M A S U N I Y Y A T | B A R KH O R D AA R | B U D E AH A N D | SIL
R000439/S005516/P048101	در دوره جوانی به تحصیل فلسفه پرداخت	D A R | D O R E Y E | J A V AA N I | B E | T A H S I L E | F A L S A F E | P A R D AA KH T	SIL | D A R | D O R E Y E | J A V AA N I | SIL | B E | T A H S I L E | F A L S A F E | P A R D AA KH T | SIL
R000439/S005516/P048102	خیرالله از پدر بهرام خوشش نمی‌آمد از سبیل کلفتش نفرت داشت	KH E Y R O L L AA H | AH A Z | P E D A R E | B A H R AA M | KH O SH A SH | N E M I Y AA M A D | AH A Z | S E B I L E | K O L O F T A SH | N E F R A T | D AA SH T	SIL | KH E Y R O L L AA H | SIL | AH A Z | P E D A R E | B A H R AA M | SIL | KH O SH A SH | N E M I AH AA M A D | SIL | AH A Z | S E B I L E | K O L O F T A SH | N E F R A T | D AA SH T | SIL
R000439/S005516/P048103	کارکنان رسانه‌های خبری در کشورهای قاره آمریکا به دلیل حاکم بودن شدید مقررات و قوانین دست‌وپاگیر و محدودکننده همواره خود را در خطر حاضر شدن در دادگاه می‌بینند	K AA R K O N AA N E | R E S AA N E H AA Y E | KH A B A R I | D A R | K E SH V A R H AA Y E | Q AA R R E Y E | AH AA M R I K AA | B E | D A L I L E | H AA K E M | B U D A N E | SH A D I D E | M O Q A R R A R AA T | V A | Q A V AA N I N E | D A S T O P AA G I R | V A | M A H D U D K O N A N D E | H A M V AA R E | KH O D | R AA | D A R | KH A T A R E | H AA Z E R | SH O D A N | D A R | D AA D G AA H | M I B I N A N D	SIL | K AA R K O N AA N E | R E S AA N E H AA Y E | KH A B A R I | SIL | D A R | K E SH V A R H AA Y E | Q AA R R E Y E | AH AA M R I K AA | SIL | B E | D A L I L E | H AA K E M | B U D A N E | SH A D I D E | M O Q A R R A R AA T | SIL | V A | Q A V AA N I N E | D A S T O P AA G I R | SIL | V A | M A H D U D K O N A N D E | SIL | H A M V AA R E | KH O D | R AA | SIL | D A R | KH A T A R E | H AA Z E R | SH O D A N | SIL | D A R | D AA D G AA H | M I B I N A N D | SIL
R000439/S005516/P048104	با تشکر از این که با صراحت فرمودید باید هرچه بیشتر از آزادی‌ها در چارچوب اسلام استفاده کرد مشکل اصلی ما تفسیر این چارچوب است که هر کس به سلیقه خود عمل می‌کند	B AA | T A SH A K K O R | AH A Z | AH I N | K E | B AA | S E R AA H A T | F A R M U D I D | B AA Y A D | H A R CH E | B I SH T A R | AH A Z | AH AA Z AA D I H AA | D A R | CH AA R CH U B E | AH E S L AA M | AH E S T E F AA D E | K A R D | M O SH K E L E | AH A S L I Y E | M AA | T A F S I R E | AH I N | CH AA R CH U B | AH A S T | K E | H A R | K A S | B E | S A L I Q E Y E | KH O D | AH A M A L | M I K O N A D	SIL | B AA | T A SH A K K O R | AH A Z | AH I N | K E | B AA | S E R AA H A T | F A R M U D I D | SIL | B AA Y A D | H A R CH E | B I SH T A R | AH A Z | AH AA Z AA D I H AA | SIL | D A R | CH AA R CH U B E | AH E S L AA M | AH E S T E F AA D E | K A R D | SIL | M O SH K E L E | AH A S L I Y E | M AA | SIL | T A F S I R E | AH I N | CH AA R CH U B | AH A S T | SIL | K E H | H A R | K A S | SIL | B E | S A L I Q E Y E | KH O D | AH A M A L | M I K O N A D | SIL
R000439/S005516/P048105	اما قضیه ناجورتر از این حرف‌ها بود	AH A M M AA | Q A Z I Y Y E | N AA J U R T A R | AH A Z | AH I N | H A R F H AA | B U D	SIL | AH A M M AA | Q A Z I Y Y E | N AA J U R T A R | AH A Z | AH I N | H A R F H AA | B U D | SIL
R000439/S005516/P048106	به طور کلی آب‌وهوای استان فارس به سه بخش تقسیم می‌شود	B E | T O R E | K O L L I | AH AA B O H A V AA Y E | AH O S T AA N E | F AA R S | B E | S E | B A KH SH E | T A Q S I M | M I SH A V A D	SIL | B E | T O R E | K O L L I | AH AA B O H A V AA Y E | AH O S T AA N E | F AA R S | SIL | B E | S E | B A KH SH | T A Q S I M | M I SH A V A D | SIL
R000439/S005517/P048107	به درجات بالا احترام می‌گذاشت و از تجربیات آن‌ها استفاده می‌کرد و دلیلش از انتخاب من به عنوان فرماندهی لشکر شانزده زرهی این بود که من را می‌شناخت و به من اعتماد داشت	B E | D A R A J AA T E | B AA L AA | AH E H T E R AA M | M I G O Z AA SH T | V A | AH A Z | T A J R O B I Y Y AA T E | AH AA N H AA | AH E S T E F AA D E | M I K A R D | V A | D A L I L A SH | AH A Z | AH E N T E KH AA B E | M A N | B E | AH O N V AA N E | F A R M AA N D E H I Y E | L A SH K A R E | SH AA N Z D A H | Z E R E H I | AH I N | B U D | K E | M A N | R AA | M I SH E N AA KH T | V A | B E | M A N | AH E AH T E M AA D | D AA SH T	SIL | B E | D A R A J AA T E | B AA L AA | AH E H T E R AA M | M I G O Z AA SH T | SIL | V A | AH A Z | T A J R O B I Y Y AA T | AH AA N H AA | AH E S T E F AA D E | M I K A R D | SIL | V A | D A L I L A SH | SIL | AH A Z | AH E N T E KH AA B E | M A N | SIL | B E | AH O N V AA N E | F A R M AA N D E H I Y E | L A SH K A R E | SH AA N Z D A H E | Z E R E H I | AH I N | B U D | SIL | K E H | M A N | R AA | M I SH E N AA KH T | SIL | V AA V | B E | M A N | SIL | AH E AH T E M AA D | D AA SH T | SIL
R000439/S005517/P048108	بالغ بر چهل درصد صادرات سنگاپور را صادرات مجدد تشکیل می‌دهد	B AA L E Q | B A R | CH E H E L | D A R S A D E | S AA D E R AA T E | S A N G AA P U R | R AA | S AA D E R AA T E | M O J A D D A D | T A SH K I L | M I D A H A D	SIL | B AA L E Q | B A R | SIL | CH E H E L | D A R S A D E | S AA D E R AA T E | S A N G AA P U R | R AA | SIL | S AA D E R AA T E | M O J A D D A D | T A SH K I L | M I D A H A D | SIL
R000439/S005517/P048109	وحدت این نظام معنایی وحدتی توتالیتر نیست بلکه وحدتی است که با پلورالیسم فرهنگی و اختلافات فکری قابل جمع است	V A H D A T E | AH I N | N E Z AA M E | M A AH N AA Y I | V A H D A T I | T O T AA L I T E R | N I S T | B A L K E | V A H D A T I | AH A S T | K E | B AA | P O L O R AA L I S M E | F A R H A N G I | V A | AH E KH T E L AA F AA T E | F E K R I | Q AA B E L E | J A M AH | AH A S T	SIL | V A H D A T E | AH I N | N E Z AA M E | M A AH N AA Y I | SIL | V A H D A T I | T O T AA L I T E R | N I S T | SIL | B A L K E | V A H D A T I | AH A S T | K E H | SIL | B AA | P O L O R AA L I S M E | F A R H A N G I | SIL | V A | AH E KH T E L AA F AA T E | F E K R I | SIL | Q AA B E L E | J A M AH | AH A S T | SIL
R000439/S005517/P048110	جمعیت علناً از کوره دررفته بودند	J A M AH I Y Y A T | AH A L A N A N | AH A Z | K U R E | D A R R A F T E | B U D A N D	SIL | J A M AH I Y Y A T | SIL | AH A L A N A N | AH A Z | K U R E | D A R R A F T E | B U D A N D | SIL
R000439/S005517/P048111	آقای خاتمی از جوانان ایرانی مقیم خارج خواست تا در این مقطع حساس از جهان در جهت شناختن عناصر اصلی هویت اسلامی و ایرانی و تقویت پایه‌های آن تلاش کنند	AH AA Q AA Y E | KH AA T A M I | AH A Z | J A V AA N AA N E | AH I R AA N I Y E | M O Q I M E | KH AA R E J | KH AA S T | T AA | D A R | AH I N | M A Q T A AH E | H A S S AA S | AH A Z | J A H AA N | D A R | J A H A T E | SH E N AA KH T A N E | AH A N AA S O R E | AH A S L I Y E | H O V I Y Y A T E | AH E S L AA M I | V A | AH I R AA N I | V A | T A Q V I Y A T E | P AA Y E H AA Y E | AH AA N | T A L AA SH | K O N A N D	SIL | AH AA Q AA Y E | KH AA T A M I | AH A Z | J A V AA N AA N | AH I R AA N I Y E | M O Q I M E | KH AA R E J | KH AA S T | SIL | T AA | D A R | AH I N | M A Q T A AH E | H A S S AA S | AH A Z | J A H AA N | SIL | D A R | J A H A T E | SH E N AA KH T A N E | AH A N AA S O R E | AH A S L I | H O V I Y Y A T | AH E S L AA M I | SIL | V A | AH I R AA N I | SIL | V A | T A Q V I Y A T E | P AA Y E H AA Y E | AH AA N | SIL | T A L AA SH | K O N A N D | SIL
R000439/S005517/P048112	همچنین اسرائیل که پس از عقب‌نشینی از جنوب لبنان احساس راحتی می‌کند باید برای سال‌ها در انتظار مذاکره باقی بماند	H A M CH E N I N | AH E S R AA AH I L | K E | P A S | AH A Z | AH A Q A B N E SH I N I | AH A Z | J O N U B E | L O B N AA N | AH E H S AA S E | R AA H A T I | M I K O N A D | B AA Y A D | B A R AA Y E | S AA L H AA | D A R | AH E N T E Z AA R E | M O Z AA K E R E | B AA Q I | B E M AA N A D	SIL | H A M CH E N I N | AH E S R AA AH I L | SIL | K E H | P A S | AH A Z | AH A Q A B N E SH I N I | AH A Z | J O N U B E | L O B N AA N | SIL | AH E H S AA S E | R AA H A T I | M I K O N A D | SIL | B AA Y A D | B A R AA Y E | S AA L H AA | SIL | D A R | AH E N T E Z AA R E | M O Z AA K E R E | SIL | B AA Q I | B E M AA N A D | SIL
R000439/S005517/P048113	استفاده از تکنیک همانندسازی برای درمان نازایی با استفاده از تکنیک همانندسازی می‌توان برخی از مبتلایان به نازایی را که از عارضه نقص سیتوپلاسم تخمک رنج می‌برند درمان کرد	AH E S T E F AA D E | AH A Z | T E K N I K E | H A M AA N A N D S AA Z I | B A R AA Y E | D A R M AA N E | N AA Z AA Y I | B AA | AH E S T E F AA D E | AH A Z | T E K N I K E | H A M AA N A N D S AA Z I | M I T A V AA N | B A R KH I | AH A Z | M O B T A L AA Y AA N | B E | N AA Z AA Y I | R AA | K E | AH A Z | AH AA R E Z E Y E | N A Q S E | S I T O P E L AA S M E | T O KH M A K | R A N J | M I B A R A N D | D A R M AA N | K A R D	SIL | AH E S T E F AA D E | AH A Z | T E K N I K E | H A M AA N A N D S AA Z I | B A R AA Y E | D A R M AA N E | N AA Z AA Y I | SIL | B AA | AH E S T E F AA D E | AH A Z | T E K N I K E | H A M AA N A N D S AA Z I | M I T A V AA N | SIL | B A R KH I | AH A Z | M O B T A L AA Y AA N | B E | N AA Z AA Y I | R AA | SIL | K E H | AH A Z | AH AA R E Z E Y E | N A Q S E | S I T O P E L AA S M E | T O KH M A K | R A N J | M I B A R A N D | SIL | D A R M AA N | K A R D | SIL
R000439/S005517/P048114	اما نود و پنج درصد از درآمد مالی این شرکت مستقیماً از معامله با تلویزیون‌های داخلی تأمین می‌شود	AH A M M AA | N A V A D | V A | P A N J | D A R S A D | AH A Z | D A R AA M A D E | M AA L I Y E | AH I N | SH E R K A T | M O S T A Q I M A N | AH A Z | M O AH AA M E L E | B AA | T E L E V I Z I Y O N H AA Y E | D AA KH E L I | T A AH M I N | M I SH A V A D	SIL | AH A M M AA | N A V A D | V E | P A N J | D A R S A D | SIL | AH A Z | D A R AA M A D E | M AA L I Y E | AH I N | SH E R K A T | SIL | M O S T A Q I M A N | AH A Z | M O AH AA M E L E | SIL | B AA | T E L E V I Z Y O N H AA Y E | D AA KH E L I | T A AH M I N | M I SH A V A D | SIL
R000439/S005518/P048115	تا قرن سیزده هجری قمری قزوین شهری آرام بود اما با شروع جنگ جهانی اول قزوین گرفتار حمله و اشغال سپاه تزاری روس شد	T AA | Q A R N E | S I Z D A H | H E J R I Y E | Q A M A R I | Q A Z V I N | SH A H R I | AH AA R AA M | B U D | AH A M M AA | B AA | SH O R U AH E | J A N G E | J A H AA N I Y E | AH A V V A L | Q A Z V I N | G E R E F T AA R E | H A M L E | V A | AH E SH Q AA L E | S E P AA H E | T E Z AA R I Y E | R U S | SH O D	SIL | T AA | Q A R N E | S I Z D A H E | H E J R I | Q A M A R I | SIL | Q A Z V I N | SIL | SH A H R I | AH AA R AA M | B U D | SIL | AH A M M AA | SIL | B AA | SH O R U AH E | J A N G E | J A H AA N I Y E | AH A V V A L | SIL | Q A Z V I N | SIL | G E R E F T AA R E | H A M L E | SIL | V A | AH E SH Q AA L E | S E P AA H E | T E Z AA R I Y E | R U S | SH O D | SIL
R000439/S005518/P048116	در حال حاضر سیر در مکزیک و در سرزمین‌های جنوبی آمریکا کشت می‌شود	D A R | H AA L E | H AA Z E R | S E Y R | D A R | M E K Z I K | V A | D A R | S A R Z A M I N H AA Y E | J O N U B I Y E | AH AA M R I K AA | K E SH T | M I SH A V A D	SIL | D A R | H AA L E | H AA Z E R | SIL | S I R | SIL | D A R | M E K Z I K | SIL | V A | D A R | S A R Z A M I N H AA Y E | J O N U B I | AH AA M R I K AA | SIL | K E SH T | M I SH A V A D | SIL
R000439/S005518/P048117	در آن زمان اسحاق شامیر از حزب لیکود نخست‌وزیر رژیم صهیونیستی بود	D A R | AH AA N | Z A M AA N | AH E S H AA Q | SH AA M I R | AH A Z | H E Z B E | L I K U D | N O KH O S T V A Z I R E | R E ZH I M E | S E H Y O N I S T I | B U D	SIL | D A R | AH AA N | Z A M AA N | SIL | AH E S H AA Q | SH AA M I R | SIL | AH A Z | H E Z B E | L I K U D | SIL | N O KH O S T V A Z I R E | R E ZH I M E | S A H Y U N I S T I | B U D | SIL
R000439/S005518/P048118	سامپراس بیست و هشت ساله اکنون تنها دارنده سیزده عنوان قهرمانی در تورنمنت‌های بزرگ است و از روی امرسون استرالیایی که دوازده عنوان دارد پیشی گرفته است	S AA M P E R AA S E | B I S T | V A | H A SH T | S AA L E | AH A K N U N | T A N H AA | D AA R A N D E Y E | S I Z D A H | AH O N V AA N E | Q A H R E M AA N I | D A R | T O R N O M E N T H AA Y E | B O Z O R G | AH A S T | V A | AH A Z | R U Y | AH E M E R S O N E | AH O S T O R AA L I Y AA Y I | K E | D A V AA Z D A H | AH O N V AA N | D AA R A D | P I SH I | G E R E F T E | AH A S T	SIL | S AA M P E R AA S E | B I S T | V E | SIL | H A SH T | S AA L E | SIL | AH A K N U N | T A N H AA | D AA R A N D E Y E | S I Z D A H | AH O N V AA N E | Q A H R E M AA N I | D A R | T O R N O M E N T H AA Y E | B O Z O R G | AH A S T | SIL | V A | AH A Z | R U Y E | AH E M E R S O N E | AH O S T O R AA L I Y AA Y I | SIL | K E H | D A V AA Z D A H | AH O N V AA N | D AA R A D | SIL | P I SH I | G E R E F T E | AH A S T
R000439/S005518/P048119	رئیس‌جمهور و نمایندگان مجلس شورا نیز مستقیماً از سوی مردم انتخاب می‌شوند	R A AH I S J O M H U R | V A | N A M AA Y A N D E G AA N E | M A J L E S E | SH O R AA | N I Z | M O S T A Q I M A N | AH A Z | S U Y E | M A R D O M | AH E N T E KH AA B | M I SH A V A N D	SIL | R A AH I S J O M H U R | SIL | V A | N A M AA Y A N D E G AA N E | M A J L E S E | SH O R AA | N I Z | SIL | M O S T A Q I M A N | AH A Z | S U Y E | M A R D O M | AH E N T E KH AA B | M I SH A V A N D | SIL
R000439/S005518/P048120	غیر از اسکات ماژلان دریانورد معروف هم دچار همین مشکلات شد	Q E Y R | AH A Z | AH E S K AA T | M AA ZH E L AA N | D A R Y AA N A V A R D E | M A AH R U F | H A M | D O CH AA R E | H A M I N | M O SH K E L AA T | SH O D	SIL | Q E Y R | AH A Z | AH E S K AA T | SIL | M AA ZH E L AA N | SIL | D A R Y AA N A V A R D E | M A AH R U F | H A M M | SIL | D O CH AA R E | H A M I N | M O SH K E L AA T | SH O D | SIL
R000439/S005518/P048121	چندی پیش شما ششمین کنگره عمومی جبهه خلق برای آزادی فلسطین را برگزار کردید	CH A N D I | P I SH | SH O M AA | SH E SH O M I N | K O N G E R E Y E | AH O M U M I Y E | J E B H E Y E | KH A L Q | B A R AA Y E | AH AA Z AA D I Y E | F E L E S T I N | R AA | B A R G O Z AA R | K A R D I D	SIL | CH A N D I | P I SH | SH O M AA | SIL | SH E SH O M I N | K O N G E R E Y E | AH O M U M I Y E | J E B H E Y E | KH A L Q | SIL | B A R AA Y E | AH AA Z AA D I | F E L E S T I N | R AA | SIL | B A R G O Z AA R | K A R D I D | SIL
R000439/S005518/P048122	سلسله فاسد قاجاریه آخرین نفس‌هایش را می‌کشید شاهزادگان ریز و درشت ایران را تبدیل به ملک شخصی خود کرده بودند	S E L S E L E Y E | F AA S E D E | Q AA J AA R I Y Y E | AH AA KH A R I N | N A F S H AA Y A SH | R AA | M I K E SH I D | SH AA H Z AA D E G AA N E | R I Z | V A | D O R O SH T | AH I R AA N | R AA | T A B D I L | B E | M A L A K E | SH A KH S I Y E | KH O D | K A R D E | B U D A N D	SIL | S E L S E L E Y E | F AA S E D E | Q AA J AA R I Y Y E | SIL | AH AA KH A R I N | N A F A S H AA Y A SH | R AA | M I K E SH I D | SIL | SH AA H Z AA D E G AA N E | R I Z | V E | D O R O SH T | SIL | AH I R AA N | R AA | T A B D I L | B E | M E L K E | SH A KH S I | KH O D | K A R D E | B U D A N D | SIL
R000450/S005691/P049691	مدل جهانی یا تجویز اهداف مطلوب است و یا حداکثر پیش‌بینی جهت تغییر در سیاست جهانی است	M O D E L E | J A H AA N I | Y AA | T A J V I Z E | AH A H D AA F | M A T L U B | AH A S T | V A | Y AA | H A D D E AH A K S A R E | P I SH B I N I | J A H A T E | T A Q Y I R | D A R | S I Y AA S A T E | J A H AA N I | AH A S T	SIL | M O D E L E | J A H AA N I | SIL | Y AA | T A J V I Z E | AH A H D AA F | SIL | M A T L U B | AH A S T | SIL | V A | Y AA | H A D D E AH A K S A R E | P I SH B I N I | SIL | J A H A T E | T A Q Y I R | SIL | D A R | S I Y AA S A T E | J A H AA N I | AH A S T | SIL
R000450/S005691/P049692	یکی از این مسافران قاتل است و به این ترتیب جسیکا بسیار علاقه‌مند است که بفهمد قاتل کیست پیش از اینکه دوباره مرتکب جنایت شود	Y E K I | AH A Z | AH I N | M O S AA F E R AA N | Q AA T E L | AH A S T | V A | B E | AH I N | T A R T I B | J E S I K AA | B E S I Y AA R | AH A L AA Q E M A N D | AH A S T | K E | B E F A H M A D | Q AA T E L | K I S T | P I SH | AH A Z | AH I N K E | D O B AA R E | M O R T A K E B E | J E N AA Y A T | SH A V A D	SIL | Y E K I | AH A Z | AH I N | M O S AA F E R AA N | Q AA T E L | AH A S T | SIL | V AA V | B E | AH I N | T A R T I B | SIL | J E S I K AA | B E S Y AA R | AH A L AA Q E M A N D | AH A S T | K E | B E F A H M A D | SIL | Q AA T E L | K I S T | SIL | P I SH | AH A Z | AH I N K E | D O B AA R E | SIL | M O R T A K E B E | J E N AA Y A T | SH A V A D | SIL
R000450/S005691/P049693	این بازارچه در روزهای یادشده از ساعت شانزده تا بیست و سه برای بازدید عموم دایر خواهد بود و عواید حاصله از آن نیز صرف بیماران هپاتیتی خواهد شد	AH I N | B AA Z AA R CH E | D A R | R U Z H AA Y E | Y AA D SH O D E | AH A Z | S AA AH A T E | SH AA N Z D A H | T AA | B I S T | V A | S E | B A R AA Y E | B AA Z D I D E | AH O M U M | D AA Y E R | KH AA H A D | B U D | V A | AH A V AA Y E D E | H AA S E L E | AH A Z | AH AA N | N I Z | S A R F E | B I M AA R AA N E | H E P AA T I T I | KH AA H A D | SH O D	SIL | AH I N | B AA Z AA R CH E | D A R | R U Z H AA Y E | Y AA D SH O D E | SIL | AH A Z | S AA AH A T E | SH AA N Z D A H | T AA | B I S T | V E | S E | SIL | B A R AA Y E | B AA Z D I D E | AH O M U M | D AA Y E R | KH AA H A D | B U D | SIL | V A | AH A V AA Y E D E | H AA S E L E | AH A Z | AH AA N | N I Z | S A R F E | B I M AA R AA N E | H E P AA T I T I | KH AA H A D | SH O D | SIL
R000450/S005691/P049694	اگر من از دیالوگ بسیار برگزیده‌ای استفاده کنم و همگام با آن از موسیقی هم استفاده کنم می‌توانم قوی‌تر حرفم را بزنم	AH A G A R | M A N | AH A Z | D I Y AA L O G E | B E S I Y AA R | B A R G O Z I D E AH I | AH E S T E F AA D E | K O N A M | V A | H A M G AA M | B AA | AH AA N | AH A Z | M U S I Q I | H A M | AH E S T E F AA D E | K O N A M | M I T A V AA N A M | Q A V I T A R | H A R F A M | R AA | B E Z A N A M	SIL | AH A G A R | M A N | SIL | AH A Z | D I Y AA L O G E | B E S Y AA R | B A R G O Z I D E AH I | AH E S T E F AA D E | K O N A M | SIL | V A | H A M G AA M E | B AA | AH AA N | AH A Z | M U S I Q I | H A M M | AH E S T E F AA D E | K O N A M | SIL | M I T A V AA N A M | Q A V I T A R | H A R F A M | R AA | B E Z A N A M | SIL
R000450/S005691/P049695	اگرچه فرکانس خط ارتباطی بالابرنده حول شش گیگاهرتز است ولی آن برای سازوار کردن کانال‌های مختلف پهنای باندی برابر پانصد مگاهرتز دارد	AH A G A R CH E | F E R E K AA N S E | KH A T E | AH E R T E B AA T I Y E | B AA L AA B A R A N D E | H O L E | SH E SH | G I G AA H E R T Z | AH A S T | V A L I | AH AA N | B A R AA Y E | S AA Z V AA R | K A R D A N E | K AA N AA L H AA Y E | M O KH T A L E F | P A H N AA Y E | B AA N D I | B A R AA B A R | P AA N S A D | M E G AA H E R T Z | D AA R A D	SIL | AH A G A R CH E | F E R E K AA N S E | KH A T T E | AH E R T E B AA T I Y E | B AA L AA B A R A N D E | SIL | H O L E | SH E SH | G I G AA H E R T Z | AH A S T | SIL | V A L I | AH AA N | B A R AA Y E | S AA Z V AA R | K A R D A N E | K AA N AA L H AA Y E | M O KH T A L E F | SIL | P A H N AA Y E | B AA N D I | B A R AA B A R E | P AA N S A D | M E G AA H E R T Z | D AA R A D | SIL
R000450/S005691/P049696	با تصویب ماده دویست رسیدگی به لایحه برنامه سوم توسعه کشور پایان یافت و این برنامه از تصویب نهایی نمایندگان مجلس گذشت	B AA | T A S V I B E | M AA D D E Y E | D E V I S T | R E S I D E G I | B E | L AA Y E H E Y E | B A R N AA M E Y E | S E V V O M E | T O S E AH E Y E | K E SH V A R | P AA Y AA N | Y AA F T | V A | AH I N | B A R N AA M E | AH A Z | T A S V I B E | N A H AA Y I Y E | N A M AA Y A N D E G AA N E | M A J L E S | G O Z A SH T	SIL | B AA | T A S V I B E | M AA D D E Y E | D E V I S T | SIL | R E S I D E G I | B E | L AA Y E H E Y E | B A R N AA M E Y E | S E V V O M E | T O S E AH E Y E | K E SH V A R | P AA Y AA N | Y AA F T | SIL | V A | AH I N | B A R N AA M E | AH A Z | T A S V I B E | N A H AA Y I Y E | N A M AA Y A N D E G AA N E | M A J L E S | G O Z A SH T | SIL
R000450/S005692/P049699	اما این بار مشتری‌های کوچکش چنان بر سنگ‌ها دست می‌کشیدند که گویی نیازمند لطافت سنگ برای بقای زندگی‌شان هستند	AH A M M AA | AH I N | B AA R | M O SH T A R I H AA Y E | K U CH A K A SH | CH E N AA N | B A R | S A N G H AA | D A S T | M I K E SH I D A N D | K E | G U Y I | N I Y AA Z M A N D E | L E T AA F A T E | S A N G | B A R AA Y E | B A Q AA Y E | Z E N D E G I Y E SH AA N | H A S T A N D	SIL | AH A M M AA | AH I N | B AA R | SIL | M O SH T A R I H AA Y E | K U CH A K A SH | SIL | CH E N AA N | B A R | S A N G H AA | D A S T | M I K E SH I D A N D | K E | G U Y I | SIL | N I Y AA Z M A N D E | L E T AA F A T E | S A N G | B A R AA Y E | B A Q AA Y E | Z E N D E G I Y E SH AA N | H A S T A N D | SIL
R000450/S005692/P049700	از کلیه نماهای قابل رؤیت همچنین فضاها یا عناصر مهم به تشخیص صاحب اثر عکس تهیه شود	AH A Z | K O L L I Y E Y E | N A M AA H AA Y E | Q AA B E L E | R O AH Y A T | H A M CH E N I N | F A Z AA H AA | Y AA | AH A N AA S O R E | M O H E M M E | B E | T A SH KH I S E | S AA H E B E | AH A S A R | AH A K S | T A H I Y Y E | SH A V A D	SIL | AH A Z | K O L L I Y E | N A M AA H AA Y E | Q AA B E L E | R O AH Y A T | SIL | H A M CH E N I N | F A Z AA H AA | SIL | Y AA | AH A N AA S O R E | M O H E M M | B E | T A SH KH I S E | S AA H E B E | AH A S A R | SIL | AH A K S | T A H I Y Y E | SH A V A D | SIL
R000450/S005692/P049701	چهارشنبه و پنجشنبه اول و دوم تیر یک هزار و سیصد و هفتاد و نه برابر با دوازده ژوئن دو هزار و هجده ربیع‌الاول یک هزار و چهارصد و بیست و یک به وقت محلی است	CH AA H AA R SH A N B E | V A | P A N J SH A N B E | AH A V V A L | V A | D O V V O M E | T I R E | Y E K | H E Z AA R | V A | S I S A D | V A | H A F T AA D | V A | N O H | B A R AA B A R | B AA | D A V AA Z D A H | ZH U AH A N E | D O | H E Z AA R | V A | H E J D A H | R A B I AH O L AH A V V A L E | Y E K | H E Z AA R | V A | CH AA H AA R S A D | V A | B I S T | V A | Y E K | B E | V A Q T E | M A H A L L I | AH A S T	SIL | CH AA H AA R SH A N B E | V A | P A N J SH A N B E | SIL | AH A V V A L | V A | D O V V O M E | T I R E | Y E K | H E Z AA R | V E | SIL | S I S A D | V E | SIL | H A F T AA D | V E | N O H | SIL | B A R AA B A R | B AA | D A V AA Z D A H E | ZH U AH A N E | D O | H E Z AA R | V A | H E J D A H | SIL | R A B I AH O L AH A V V A L E | Y E K | H E Z AA R | V E | SIL | CH AA H AA R S A D | V E | SIL | B I S T | V E | Y E K | B E | V A Q T E | M A H A L L I | AH A S T | SIL
R000450/S005692/P049702	کلینتون در بیانیه خود به هر دو رهبر برای موافقت با گفتگویی مستقیم تبریک گفت	K E L I N T O N | D A R | B A Y AA N I Y E Y E | KH O D | B E | H A R | D O | R A H B A R | B A R AA Y E | M O V AA F E Q A T | B AA | G O F T E G U Y I | M O S T A Q I M | T A B R I K | G O F T	SIL | K E L I N T O N | D A R | B A Y AA N I Y Y E | KH O D | B E | H A R | D O | R A H B A R | B A R AA Y E | M O V AA F E Q A T | SIL | B AA | G O F T E G U Y I | M O S T A Q I M | T A B R I K | G O F T | SIL
